original_url,id_a,idioma_a,id_b,idioma_b,similitud
https://hitdarderut-haaretz.org/actualia76,es/alternative-commentary76,es,pt/alternative-commentary76,pt,0.9375725984573364
https://hitdarderut-haaretz.org/actualia8,en/alternative-commentary8,en,es/alternative-commentary8,es,0.912516713142395
https://hitdarderut-haaretz.org/actualia8,en/alternative-commentary8,en,pt/alternative-commentary8,pt,0.8943219184875488
https://hitdarderut-haaretz.org/actualia8,es/alternative-commentary8,es,pt/alternative-commentary8,pt,0.9530066847801208
https://hitdarderut-haaretz.org/actualia9,en/alternative-commentary9,en,es/alternative-commentary9,es,0.8160949945449829
https://hitdarderut-haaretz.org/actualia9,en/alternative-commentary9,en,pt/alternative-commentary9,pt,0.8295791149139404
https://hitdarderut-haaretz.org/actualia9,es/alternative-commentary9,es,pt/alternative-commentary9,pt,0.9594023823738098
https://hitdarderut-haaretz.org/bikoret-haaretz,en/press-review,en,es/press-review,es,0.8219689130783081
https://hitdarderut-haaretz.org/bikoret-haaretz,en/press-review,en,pt/press-review,pt,0.7867460250854492
https://hitdarderut-haaretz.org/bikoret-haaretz,es/press-review,es,pt/press-review,pt,0.9092795848846436
https://hitdarderut-haaretz.org/bikoret-haaretz1,en/press-review1,en,es/press-review1,es,0.8730078935623169
https://hitdarderut-haaretz.org/bikoret-haaretz1,en/press-review1,en,pt/press-review1,pt,0.8416511416435242
https://hitdarderut-haaretz.org/bikoret-haaretz1,es/press-review1,es,pt/press-review1,pt,0.9146857261657715
https://hitdarderut-haaretz.org/bikoret-haaretz10,en/press-review10,en,es/press-review10,es,0.9495240449905396
https://hitdarderut-haaretz.org/bikoret-haaretz10,en/press-review10,en,pt/press-review10,pt,0.9325398802757263
https://hitdarderut-haaretz.org/bikoret-haaretz10,es/press-review10,es,pt/press-review10,pt,0.958564281463623
https://hitdarderut-haaretz.org/bikoret-haaretz11,en/press-review11,en,es/press-review11,es,0.8098317980766296
https://hitdarderut-haaretz.org/bikoret-haaretz11,en/press-review11,en,pt/press-review11,pt,0.7458392381668091
https://hitdarderut-haaretz.org/bikoret-haaretz11,es/press-review11,es,pt/press-review11,pt,0.926753580570221
https://hitdarderut-haaretz.org/bikoret-haaretz12,en/press-review12,en,es/press-review12,es,0.7295519113540649
https://hitdarderut-haaretz.org/bikoret-haaretz12,en/press-review12,en,pt/press-review12,pt,0.7905737161636353
https://hitdarderut-haaretz.org/bikoret-haaretz12,es/press-review12,es,pt/press-review12,pt,0.8704841136932373
https://hitdarderut-haaretz.org/bikoret-haaretz14,en/press-review14,en,es/press-review14,es,0.9309613704681396
https://hitdarderut-haaretz.org/bikoret-haaretz14,en/press-review14,en,pt/press-review14,pt,0.856711745262146
https://hitdarderut-haaretz.org/bikoret-haaretz14,es/press-review14,es,pt/press-review14,pt,0.923261821269989
https://hitdarderut-haaretz.org/bikoret-haaretz15,en/press-review15,en,es/press-review15,es,0.8522993326187134
https://hitdarderut-haaretz.org/bikoret-haaretz15,en/press-review15,en,pt/press-review15,pt,0.8858180642127991
https://hitdarderut-haaretz.org/bikoret-haaretz15,es/press-review15,es,pt/press-review15,pt,0.9575632810592651
https://hitdarderut-haaretz.org/bikoret-haaretz2,en/press-review2,en,es/press-review2,es,0.8716465830802917
https://hitdarderut-haaretz.org/bikoret-haaretz2,en/press-review2,en,pt/press-review2,pt,0.8057124614715576
https://hitdarderut-haaretz.org/bikoret-haaretz2,es/press-review2,es,pt/press-review2,pt,0.9049122929573059
https://hitdarderut-haaretz.org/bikoret-haaretz3,en/press-review3,en,es/press-review3,es,0.8727424740791321
https://hitdarderut-haaretz.org/bikoret-haaretz3,en/press-review3,en,pt/press-review3,pt,0.9279895424842834
https://hitdarderut-haaretz.org/bikoret-haaretz3,es/press-review3,es,pt/press-review3,pt,0.9369328022003174
https://hitdarderut-haaretz.org/bikoret-haaretz6,en/press-review6,en,es/press-review6,es,0.8243571519851685
https://hitdarderut-haaretz.org/bikoret-haaretz6,en/press-review6,en,pt/press-review6,pt,0.7679237127304077
https://hitdarderut-haaretz.org/bikoret-haaretz6,es/press-review6,es,pt/press-review6,pt,0.9152884483337402
https://hitdarderut-haaretz.org/bikoret-haaretz7,en/press-review7,en,es/press-review7,es,0.79132080078125
https://hitdarderut-haaretz.org/bikoret-haaretz7,en/press-review7,en,pt/press-review7,pt,0.8123819828033447
https://hitdarderut-haaretz.org/bikoret-haaretz7,es/press-review7,es,pt/press-review7,pt,0.9802243709564209
https://hitdarderut-haaretz.org/bikoret-haaretz8,en/press-review8,en,es/press-review8,es,0.9104126691818237
https://hitdarderut-haaretz.org/bikoret-haaretz8,en/press-review8,en,pt/press-review8,pt,0.9053488969802856
https://hitdarderut-haaretz.org/bikoret-haaretz8,es/press-review8,es,pt/press-review8,pt,0.9541798233985901
https://hitdarderut-haaretz.org/bikoret-haaretz9,en/press-review9,en,es/press-review9,es,0.9741202592849731
